I-ONE Agent,AI 员工
Please ensure that your profile has an email address,请确保您的个人资料包含电子邮件地址
Please enter a contact email,请输入联系电子邮件
Please enter a coupon code,请输入优惠券代码
Please enter a quantity or amount for at least one item.,请至少为某一项输入数量或金额。
Please enter a valid email address,请输入有效的电子邮件地址
Please enter a valid email address.,请输入有效的电子邮件地址。
Please enter a valid phone number,请输入有效的电话号码
Please enter Access Token URL,请输入访问令牌 URL
Please enter Authorize URL,请输入授权 URL
Please enter Base URL,请输入基础 URL
Please enter both your email and message so that we can get back to you. Thanks!,请输入您的电子邮件和留言，以便我们与您联系。谢谢！
Please enter Client ID before social login is enabled,启用社交登录前请输入客户端 ID
Please enter Client Secret before social login is enabled,启用社交登录前请输入客户端密钥
Please enter monthly repayment amount,请输入每月还款金额
Please enter OpenID Configuration URL,请输入 OpenID 配置 URL
Please enter Redirect URL,请输入重定向 URL
Please enter the {0} Access Key.,请输入 {0} 访问密钥。
Please enter valid mobile nos,请输入有效的手机号码
Please enter your new password.,请输入您的新密码。
Please enter your old password.,请输入您的旧密码。
Please fill all required fields for Twilio,请填写 Twilio 的所有必填字段
Please fill the mandatory fields: {0},请填写必填字段：{0}
Please fill up the Availability of Slots table to enable Appointment Scheduling.,请填写“时段可用性”表以启用预约调度。
Please find attached the proforma invoice {0}.,请查收附件中的形式发票 {0}。
Please find attached {0}: {1},请查收附件 {0}：{1}
Please Install the ldap3 library via pip to use ldap functionality.,请通过 pip 安装 ldap3 库以使用 ldap 功能。
Please log in to connect your GitHub account.,请登录以连接您的 GitHub 账户。
Please log in to create a GitHub App.,请登录以创建 GitHub 应用。
Please login to post a comment.,请登录以发表评论。
Please login to view program details.,请登录以查看项目详情。
Please login to view programs.,请登录以查看项目。
Please make sure the Reference Communication Docs are not circularly linked.,请确保参考通信文档不存在循环链接。
Please make sure to schedule your evaluation before this date.,请确保在此日期之前安排您的评估。
Please pick a GitHub repository,请选择一个 GitHub 仓库
Please provide a reason,请提供原因
Please provide a reason for marking this {0} as lost,请提供将此 {0} 标记为丢失的原因
Please provide a reason for rejecting this change request.,请提供拒绝此变更请求的原因。
Please provide an answer or upload a file before submitting.,请在提交前提供答案或上传文件。
Please provide feedback,请提供反馈
Please provide feedback explaining what needs to change.,请提供解释需要更改内容的反馈。
Please provide feedback explaining what needs to change. This is sent back to the author.,请提供解释需要更改内容的反馈。这将发送回作者。
Please provide saved_reply_id,请提供 saved_reply_id
Please provide your consent to proceed with the payment,请提供您的同意以继续付款
Please provide your consent to proceed with the payment.,请提供您的同意以继续付款。
Please read the following instructions carefully before starting the quiz,请在开始测验前仔细阅读以下说明
Please refresh to get the latest document.,请刷新以获取最新文档。
Please remove the printer mapping in Printer Settings and try again.,请在打印机设置中删除打印机映射并重试。
Please review the feedback and update your changes,请查看反馈并更新您的更改
Please save before attaching.,请在附加前保存。
Please save the document before assignment,请在分配前保存文档
Please save the document before removing assignment,请在移除分配前保存文档
Please save the form before previewing the message,请在预览消息前保存表单
Please save the report first,请先保存报表
Please save to edit the template.,请保存以编辑模板。
Please select a Amount Field.,请选择一个金额字段。
Please select a conferencing provider and add an account to the batch to create live classes.,请选择一个视频会议提供商，并为批次添加一个账户以创建直播课程。
Please select a country code for field {1}.,请为字段 {1} 选择一个国家代码。
Please select a course to view available slots.,请选择一个课程以查看可用时段。
Please select a DocType in options before setting filters,在设置过滤器之前，请先在选项中选择一个 DocType
Please select a Document Type first,请先选择一个文档类型
Please select a file first.,请先选择一个文件。
Please select a file or url,请选择一个文件或 URL
Please select a Google Meet account for this batch.,请为此批次选择一个 Google Meet 账户。
Please select a Holiday List to enable Appointment Scheduling.,请选择一个假日列表以启用预约调度。
Please select a Loan Product.,请选择一个贷款产品。
Please select a payment for the purchased certificate.,请选择已购买证书的付款方式。
Please select a Report first,请先选择一个报表
Please select a slot for your evaluation.,请选择一个时段进行您的评估。
Please select a student to enroll.,请选择一名学生进行注册。
Please select a user to view push subscriptions.,请选择一个用户以查看推送订阅。
Please select a valid csv file with data,请选择一个包含数据的有效 CSV 文件
Please select a valid date filter,请选择一个有效的日期过滤器
Please select a valid {0},请选择一个有效的 {0}
Please select a Zoom account for this batch.,请为此批次选择一个 Zoom 账户。
Please select an account to view address books.,请选择一个账户以查看通讯录。
Please select an account to view calendar events.,请选择一个账户以查看日历事件。
Please select an account to view calendars.,请选择一个账户以查看日历。
Please select an account to view contact cards.,请选择一个账户以查看联系人卡片。
Please select an account to view event notifications.,请选择一个账户以查看事件通知。
Please select an account to view identities.,请选择一个账户以查看身份标识。
Please select an account to view mailboxes.,请选择一个账户以查看邮箱。
Please select an account to view messages.,请选择一个账户以查看邮件。
Please select an account to view participant identities.,请选择一个账户以查看参与者身份。
Please select an account to view quotas.,请选择一个账户以查看配额。
Please select an account to view the Sieve Scripts.,请选择一个账户以查看 Sieve 脚本。
Please select an account to view vacation response details.,请选择一个账户以查看假期回复详情。
Please select an Employee before continuing.,请继续操作前选择一名员工。
Please select another payment method. Go Cardless does not support transactions in currency '{0}',请选择其他付款方式。Go Cardless 不支持货币 '{0}' 的交易
Please select another payment method. Mpesa does not support transactions in currency '{0}',请选择其他付款方式。Mpesa 不支持货币 '{0}' 的交易
Please select another payment method. PayPal does not support transactions in currency '{0}',请选择其他付款方式。PayPal 不支持货币 '{0}' 的交易
Please select another payment method. Paytm does not support transactions in currency '{0}',请选择其他付款方式。Paytm 不支持货币 '{0}' 的交易
Please select another payment method. Razorpay does not support transactions in currency '{0}',请选择其他付款方式。Razorpay 不支持货币 '{0}' 的交易
Please select another payment method. Stripe does not support transactions in currency '{0}',请选择其他付款方式。Stripe 不支持货币 '{0}' 的交易
Please select applicable Doctypes,请选择适用的 DocTypes
Please select As on Date.,请选择“截至日期”。
Please select at least Loan or Applicant to view the ledger,请选择至少贷款或申请人以查看分类账
Please select atleast 1 column from {0} to sort/group,请从 {0} 中至少选择 1 列进行排序/分组
Please select Company.,请选择公司。
Please select DocType first,请先选择 DocType
Please select Entity Type first,请先选择实体类型
Please select how to collect Applicants.,请选择如何收集申请人。
Please select Loan Disbursement for Line of Credit repayment,请选择用于授信额度还款的贷款发放
Please select Loan Product for company {0},请选择公司 {0} 的贷款产品
Please select Minimum Password Score,请选择最小密码强度
Please select prefix first,请先选择前缀
Please select the Document Type.,请选择文档类型。
Please select the LDAP Directory being used,请选择正在使用的 LDAP 目录
Please select X and Y fields,请选择 X 和 Y 字段
